"id";"sn";"fn";"ln";"no";"ps";"nt";"db";"ag";"ht";"ap";"go";"ci";"cb";"cn"
"1";"56293";"Abidal";"Éric";"Abidal";"22";"2";"FRA";1979-09-11;"35";"186";"2";"0";"2610";"Olympiacos";"GRE"
"2";"72417";"Afellay";"Ibrahim";"Afellay";"6";"3";"NED";1986-04-02;"28";"180";"2";"1";"2610";"Olympiacos";"GRE"
"3";"250008206";"Avlonitis";"Tassos";"Avlonitis";"24";"2";"GRE";1990-01-01;"24";NA;"0";"0";"2610";"Olympiacos";"GRE"
"4";"250070710";"Benitez";"Jorge";"Benitez";"27";"4";"PAR";1992-09-02;"22";NA;"0";"0";"2610";"Olympiacos";"GRE"
"5";"250006566";"Botía";"Alberto";"Botía";"3";"2";"ESP";1989-01-27;"25";"187";"2";"0";"2610";"Olympiacos";"GRE"
"6";"250050346";"Bouchalakis";"Andreas";"Bouchalakis";"18";"3";"GRE";1993-04-05;"21";NA;"0";"0";"2610";"Olympiacos";"GRE"
"7";"250023172";"Choutesiotis";"Lefteris";"Choutesiotis";"33";"1";"GRE";1994-07-20;"20";NA;"0";"0";"2610";"Olympiacos";"GRE"
"8";"105569";"David Fuster";"";"David Fuster";"19";"3";"ESP";1982-02-03;"32";"178";"1";"0";"2610";"Olympiacos";"GRE"
"9";"250007285";"Diamantakos";"Dimitris";"Diamantakos";"17";"4";"GRE";1993-03-05;"21";NA;"1";"0";"2610";"Olympiacos";"GRE"
"10";"95071";"Domínguez";"Alejandro";"Domínguez";"10";"3";"ARG";1981-06-10;"33";"175";"2";"0";"2610";"Olympiacos";"GRE"
"11";"250008395";"Durmaz";"Jimmy";"Durmaz";"9";"3";"SWE";1989-03-22;"25";"180";"1";"0";"2610";"Olympiacos";"GRE"
"12";"1905535";"Elabdellaoui";"Omar";"Elabdellaoui";"14";"2";"NOR";1991-12-05;"22";NA;"2";"0";"2610";"Olympiacos";"GRE"
"13";"250002911";"Giannoulis";"Kostas";"Giannoulis";"20";"2";"GRE";1987-12-09;"26";NA;"1";"0";"2610";"Olympiacos";"GRE"
"14";"250017994";"Kasami";"Pajtim";"Kasami";"11";"3";"SUI";1992-06-02;"22";"187";"2";"0";"2610";"Olympiacos";"GRE"
"15";"250007925";"Leandro Salino";"";"Leandro Salino";"30";"2";"BRA";1985-04-22;"29";"168";"0";"0";"2610";"Olympiacos";"GRE"
"16";"97657";"Maniatis";"Giannis";"Maniatis";"2";"2";"GRE";1986-10-12;"27";"178";"2";"0";"2610";"Olympiacos";"GRE"
"17";"250075783";"Masuaku";"Arthur";"Masuaku";"26";"2";"FRA";1993-11-07;"20";NA;"2";"1";"2610";"Olympiacos";"GRE"
"18";"250007933";"Megyeri";"Balázs";"Megyeri";"42";"1";"HUN";1990-03-31;"24";"187";"0";"0";"2610";"Olympiacos";"GRE"
"19";"1909310";"Milivojević";"Luka";"Milivojević";"5";"3";"SRB";1991-04-07;"23";"182";"2";"0";"2610";"Olympiacos";"GRE"
"20";"103218";"Mitroglou";"Kostas";"Mitroglou";"7";"4";"GRE";1988-03-12;"26";"188";"2";"1";"2610";"Olympiacos";"GRE"
"21";"250015758";"N'Dinga";"Delvin";"N'Dinga";"8";"3";"CGO";1988-03-14;"26";"181";"2";"0";"2610";"Olympiacos";"GRE"
"22";"69166";"Roberto";"";"Roberto";"16";"1";"ESP";1986-02-10;"28";"195";"2";"0";"2610";"Olympiacos";"GRE"
"23";"108849";"Siovas";"Dimitris";"Siovas";"23";"2";"GRE";1988-09-16;"26";"191";"0";"0";"2610";"Olympiacos";"GRE"
"24";"250041549";"Vergos";"Nikos";"Vergos";"28";"4";"GRE";1996-01-13;"18";NA;"0";"0";"2610";"Olympiacos";"GRE"
"25";"107011";"Allen";"Joe";"Allen";"24";"3";"WAL";1990-03-14;"24";"168";"0";"0";"7889";"Liverpool";"ENG"
"26";"250003335";"Balotelli";"Mario";"Balotelli";"45";"4";"ITA";1990-08-12;"24";"189";"2";"1";"7889";"Liverpool";"ENG"
"27";"1907117";"Borini";"Fabio";"Borini";"29";"4";"ITA";1991-03-29;"23";"180";"1";"0";"7889";"Liverpool";"ENG"
"28";"250076358";"Brannagan";"Cameron";"Brannagan";"32";"3";"IRL";1996-05-09;"18";NA;"0";"0";"7889";"Liverpool";"ENG"
"29";"250017824";"Can";"Emre";"Can";"23";"3";"GER";1991-01-12;"23";"186";"0";"0";"7889";"Liverpool";"ENG"
"30";"250020682";"Coutinho";"";"Coutinho";"10";"3";"BRA";1992-06-12;"22";"171";"2";"0";"7889";"Liverpool";"ENG"
"31";"250027772";"Dunn";"Jack";"Dunn";"41";"4";"ENG";1994-11-19;"19";NA;"0";"0";"7889";"Liverpool";"ENG"
"32";"100878";"Enrique";"José";"Enrique";"3";"2";"ESP";1986-01-23;"28";"184";"1";"0";"7889";"Liverpool";"ENG"
"33";"250026119";"Flanagan";"Jon";"Flanagan";"38";"2";"ENG";1993-01-01;"21";NA;"0";"0";"7889";"Liverpool";"ENG"
"34";"250070139";"Fulton";"Ryan";"Fulton";"39";"1";"SCO";1996-05-23;"18";NA;"0";"0";"7889";"Liverpool";"ENG"
"35";"31484";"Gerrard";"Steven";"Gerrard";"8";"3";"ENG";1980-05-30;"34";"185";"2";"1";"7889";"Liverpool";"ENG"
"36";"250010260";"Henderson";"Jordan";"Henderson";"14";"3";"ENG";1990-06-17;"24";"182";"2";"0";"7889";"Liverpool";"ENG"
"37";"250043860";"Javi Manquillo";"";"Javi Manquillo";"19";"2";"ESP";1994-05-05;"20";"172";"2";"0";"7889";"Liverpool";"ENG"
"38";"59499";"G. Johnson";"Glen";"Johnson";"2";"2";"ENG";1984-08-23;"30";"183";"0";"0";"7889";"Liverpool";"ENG"
"39";"95967";"Jones";"Brad";"Jones";"1";"1";"AUS";1982-03-19;"32";"191";"0";"0";"7889";"Liverpool";"ENG"
"40";"250042239";"L. Jones";"Lloyd";"Jones";"51";"2";"ENG";1995-10-07;"18";NA;"0";"0";"7889";"Liverpool";"ENG"
"41";"250076367";"Kent";"Ryan";"Kent";"40";"3";"ENG";1996-11-11;"17";NA;"0";"0";"7889";"Liverpool";"ENG"
"42";"99208";"Lallana";"Adam";"Lallana";"20";"3";"ENG";1988-05-10;"26";NA;"2";"0";"7889";"Liverpool";"ENG"
"43";"250032782";"Lambert";"Rickie";"Lambert";"9";"4";"ENG";1982-02-16;"32";NA;"1";"0";"7889";"Liverpool";"ENG"
"44";"97219";"Lovren";"Dejan";"Lovren";"6";"2";"CRO";1989-07-05;"25";"188";"2";"0";"7889";"Liverpool";"ENG"
"45";"1905181";"Lucas";"";"Lucas";"21";"3";"BRA";1987-01-09;"27";"179";"1";"0";"7889";"Liverpool";"ENG"
"46";"250053195";"Lussey";"Jordan";"Lussey";"42";"3";"ENG";1994-11-02;"19";NA;"0";"0";"7889";"Liverpool";"ENG"
"47";"250014226";"L. Marković";"Lazar";"Marković";"50";"3";"SRB";1994-03-02;"20";"174";"1";"0";"7889";"Liverpool";"ENG"
"48";"250014016";"R. McLaughlin";"Ryan";"McLaughlin";"43";"2";"NIR";1994-09-30;"20";NA;"0";"0";"7889";"Liverpool";"ENG"
"49";"98078";"Mignolet";"Simon";"Mignolet";"22";"1";"BEL";1988-08-06;"26";NA;"2";"0";"7889";"Liverpool";"ENG"
"50";"250049798";"Moreno";"Alberto";"Moreno";"18";"2";"ESP";1992-07-05;"22";NA;"1";"0";"7889";"Liverpool";"ENG"
"51";"250056569";"Ojo";"Oluwaseyi";"Ojo";"54";"4";"ENG";1997-06-19;"17";NA;"0";"0";"7889";"Liverpool";"ENG"
"52";"250066934";"Rossiter";"Jordan";"Rossiter";"46";"3";"ENG";1997-03-24;"17";NA;"0";"0";"7889";"Liverpool";"ENG"
"53";"1900769";"Sakho";"Mamadou";"Sakho";"17";"2";"FRA";1990-02-13;"24";"187";"1";"0";"7889";"Liverpool";"ENG"
"54";"250056570";"Sinclair";"Jerome";"Sinclair";"48";"4";"ENG";1996-09-20;"18";NA;"0";"0";"7889";"Liverpool";"ENG"
"55";"65030";"Škrtel";"Martin";"Škrtel";"37";"2";"SVK";1984-12-15;"29";"193";"1";"0";"7889";"Liverpool";"ENG"
"56";"250024795";"Sterling";"Raheem";"Sterling";"31";"3";"ENG";1994-12-08;"19";"170";"2";"0";"7889";"Liverpool";"ENG"
"57";"103561";"Sturridge";"Daniel";"Sturridge";"15";"4";"ENG";1989-09-01;"25";"188";"0";"0";"7889";"Liverpool";"ENG"
"58";"250013897";"Suso";"";"Suso";"30";"3";"ESP";1993-11-19;"20";"176";"0";"0";"7889";"Liverpool";"ENG"
"59";"66613";"K. Touré";"Kolo";"Touré";"4";"2";"CIV";1981-03-19;"33";"183";"0";"0";"7889";"Liverpool";"ENG"
"60";"250012939";"Ward";"Daniel";"Ward";"52";"1";"WAL";1993-06-22;"21";NA;"0";"0";"7889";"Liverpool";"ENG"
"61";"250042232";"Williams";"Jordan";"Williams";"49";"2";"WAL";1995-11-06;"18";NA;"0";"0";"7889";"Liverpool";"ENG"
"62";"250016090";"Abdennour";"Aymen";"Abdennour";"5";"2";"TUN";1989-08-06;"25";NA;"0";"0";"50023";"Monaco";"FRA"
"63";"250042768";"Bahamboula";"Dylan";"Bahamboula";"29";"3";"FRA";1995-05-22;"19";NA;"0";"0";"50023";"Monaco";"FRA"
"64";"250027193";"Bakayoko";"Tiemoué";"Bakayoko";"14";"3";"FRA";1994-08-17;"20";NA;"1";"0";"50023";"Monaco";"FRA"
"65";"51453";"Berbatov";"Dimitar";"Berbatov";"9";"4";"BUL";1981-01-30;"33";"188";"2";"0";"50023";"Monaco";"FRA"
